Country,Clicks,Impressions,CTR,Position
United States,25,1324,1.89%,15.77
India,2,33,6.06%,109.97
Ecuador,1,2,50%,3.5
Brazil,0,20,0%,5
Canada,0,9,0%,6.89
Mexico,0,8,0%,6.88
Colombia,0,6,0%,6.33
Italy,0,5,0%,5
China,0,4,0%,2
France,0,4,0%,3.5
United Kingdom,0,4,0%,9.5
Egypt,0,2,0%,1
Russia,0,2,0%,1
Serbia,0,2,0%,2.5
Croatia,0,2,0%,5
Hong Kong,0,2,0%,5.5
Poland,0,2,0%,5.5
South Korea,0,2,0%,7
Australia,0,2,0%,7.5
Iran,0,2,0%,8
Pakistan,0,2,0%,121
Bolivia,0,1,0%,1
Dominican Republic,0,1,0%,1
Indonesia,0,1,0%,1
Laos,0,1,0%,1
Uruguay,0,1,0%,1
South Africa,0,1,0%,1
Zimbabwe,0,1,0%,1
Malta,0,1,0%,2
Peru,0,1,0%,2
Germany,0,1,0%,3
Palestine,0,1,0%,3
Thailand,0,1,0%,3
Sweden,0,1,0%,4
Nigeria,0,1,0%,5
Armenia,0,1,0%,7
Bosnia & Herzegovina,0,1,0%,7
Finland,0,1,0%,7
Slovakia,0,1,0%,8
Romania,0,1,0%,9
Malaysia,0,1,0%,10
Czechia,0,1,0%,11
Turkey,0,1,0%,12
Venezuela,0,1,0%,17
United Arab Emirates,0,1,0%,19
